72,13
97,24
75,79
69,27
95,74
38,56
47,42
15,11
75,91
2,38
65,78
89,31
41,47
20,22
97,94
17,89
14,49
38,23
37,30
41,69
1,53
9,28
91,72
59,20
72,37
18,28
25,33
23,81
99,26
14,04
52,56
64,95
75,30
38,80
30,03
84,70
4,00
18,18
16,73
66,52
53,66
98,12
76,57
21,35
100,30
93,27
78,31
87,69
40,24
41,55
7,71
96,92
40,14
43,38
44,08
12,95
5,86
1,06
69,19
56,09
94,16
63,37
70,50
25,05
61,51
23,91
72,47
38,12
42,93
17,61
79,76
24,85
80,28
9,32
44,73
12,87
74,34
70,70
77,36
71,13
17,88
97,36
100,88
90,20
77,98
26,75
18,45
3,42
34,97
79,16
97,24
78,16
52,68
59,12
95,10
35,72
50,11
22,65
51,77
90,43
