66,18
17,36
86,35
79,02
72,30
40,73
11,29
69,01
13,80
64,67
24,44
20,44
49,56
21,77
87,07
76,75
84,14
43,39
25,89
59,74
5,87
15,99
53,26
18,65
3,07
29,68
29,48
51,17
6,96
17,67
82,31
39,39
100,24
61,51
16,28
8,00
99,25
15,75
89,67
30,68
64,74
88,10
10,58
81,34
21,15
96,03
5,27
51,60
67,65
9,52
41,56
33,03
45,56
80,78
48,15
93,35
86,18
56,88
56,74
59,53
100,68
68,38
7,75
57,49
89,36
88,51
3,21
48,08
41,64
61,07
60,27
41,92
69,82
2,47
17,64
72,21
69,99
93,64
73,87
53,59
31,58
90,85
91,10
57,79
23,42
100,92
80,89
92,25
68,59
86,18
99,72
76,66
83,06
86,94
20,92
74,21
93,74
75,41
17,18
49,14
