22,93
41,57
44,27
74,35
16,60
37,16
23,95
14,13
64,39
88,30
60,79
91,30
95,34
84,71
34,94
52,63
33,61
99,58
79,12
23,97
57,16
32,07
49,34
45,21
50,03
44,19
72,89
66,45
37,79
87,73
51,39
60,08
66,09
60,51
68,06
10,27
80,72
26,81
98,96
51,90
94,44
86,69
55,85
44,22
80,37
80,91
94,77
81,02
14,82
74,19
9,00
58,77
3,53
67,72
87,54
46,94
64,11
54,03
60,95
30,54
5,23
42,27
75,44
23,92
38,15
49,64
32,79
87,20
79,86
76,36
9,03
11,52
58,80
55,68
17,81
78,21
13,76
97,73
15,99
38,06
84,72
26,88
58,21
1,70
30,12
45,77
94,90
79,85
69,46
45,96
74,00
62,99
42,34
25,30
50,31
84,10
95,32
64,91
28,61
65,15
