90,09
90,58
82,76
99,93
46,38
50,35
84,96
41,92
42,84
45,38
80,40
49,65
50,66
99,97
76,80
50,04
68,46
24,27
54,31
100,89
83,68
89,19
94,23
52,96
17,90
87,33
15,58
59,69
81,46
89,05
31,54
38,01
5,18
92,84
31,04
88,12
87,09
11,87
63,37
86,91
90,73
35,18
53,23
80,11
58,56
50,96
2,29
11,62
58,16
22,16
39,35
44,89
62,42
59,84
65,91
51,03
75,70
48,62
6,42
60,84
56,91
40,47
13,21
3,99
58,23
47,67
95,00
87,71
93,08
34,33
34,88
98,97
70,87
26,49
38,60
50,15
87,46
35,74
7,46
25,82
40,25
18,14
61,19
30,29
44,60
71,35
45,96
79,98
64,34
6,08
49,95
32,39
33,27
15,11
14,89
94,53
37,01
3,05
75,68
7,40
