50,91
83,67
73,79
19,99
1,56
39,43
83,14
14,13
96,01
78,23
77,77
29,44
96,78
88,80
92,95
5,96
67,75
54,14
88,71
93,56
49,70
5,49
19,72
59,43
49,19
88,19
37,23
10,47
3,59
76,22
37,29
70,41
94,82
17,14
5,41
85,72
71,93
36,69
72,23
20,87
8,30
83,41
86,86
43,53
63,03
47,28
34,99
93,34
38,33
44,05
77,50
74,17
24,48
16,59
61,76
8,96
2,33
68,38
62,96
48,81
29,76
10,70
45,22
33,41
72,69
74,53
93,75
58,77
54,15
11,02
58,07
19,82
85,44
80,52
64,08
60,63
12,29
8,56
97,49
82,77
56,03
70,07
35,47
33,89
54,63
47,64
4,31
22,52
12,02
98,61
71,09
82,86
45,06
56,83
35,28
43,68
77,43
89,87
71,84
39,32
